rho_bar,H,label,mean_logloss,ci95_logloss,post_drift_logloss,ci95_post,mean_live_keys,ci95_keys,replicates
0.95,16,16,1.611397121054047,0.0042241885773205545,1.6212462718396854,0.0021039729709984517,12.565898437500001,0.032223383947685494,6
0.95,32,32,1.6018147264862173,0.006077940398989805,1.6158176789775982,0.003533277756283626,20.093704427083335,0.04860281109527045,6
0.95,64,64,1.595893393933345,0.00678116550262882,1.6118034759561048,0.004156832366170289,28.15666015625,0.07975199838774787,6
0.95,128,128,1.595421025531959,0.006809176366683911,1.611482741382057,0.004141796297930634,35.78555338541667,0.1669283801275182,6
0.95,999999,infinity,1.5954187006825216,0.006809447911121413,1.611481346663063,0.0041419694169095534,96.0,0.0,6
0.98,16,16,1.6181276925818693,0.005055052388335728,1.6300589858500016,0.002607109022406598,12.565898437500001,0.032223383947685494,6
0.98,32,32,1.6078764716656846,0.008397190606897894,1.6277032708629806,0.005386393612423244,20.093704427083335,0.04860281109527045,6
0.98,64,64,1.5855580846209423,0.01107031946848773,1.6136095788797638,0.0076949178804786135,28.15666015625,0.07975199838774787,6
0.98,128,128,1.577451206240086,0.01150654170991934,1.607788197861144,0.007747958832654154,35.78555338541667,0.1669283801275182,6
0.98,999999,infinity,1.5770979977858788,0.011537717518012046,1.6075497855898238,0.007762993275994277,96.0,0.0,6
0.99,16,16,1.6215751347572418,0.0053857754801852195,1.6342994588859063,0.0028199750753030804,12.565898437500001,0.032223383947685494,6
0.99,32,32,1.6149413957924186,0.009434905823097552,1.6372791702662635,0.0061973959891411514,20.093704427083335,0.04860281109527045,6
0.99,64,64,1.5812994785218157,0.013300781647362547,1.616073926282942,0.009518824946633284,28.15666015625,0.07975199838774787,6
0.99,128,128,1.5566540356478136,0.014557885067239552,1.596612603579621,0.010193840768667283,35.78555338541667,0.1669283801275182,6
0.99,999999,infinity,1.5542779250696726,0.01471868204154984,1.5948539235428971,0.010287338181876793,96.0,0.0,6
0.995,16,16,1.623587917097088,0.005563068641018846,1.6367301184212015,0.002939262679226974,12.565898437500001,0.032223383947685494,6
0.995,32,32,1.6206116959229562,0.010030724847762386,1.6443484694710817,0.006666476152338673,20.093704427083335,0.04860281109527045,6
0.995,64,64,1.5818499195119509,0.014354557795476057,1.6200296178192846,0.01029779370568334,28.15666015625,0.07975199838774787,6
0.995,128,128,1.5333109667202958,0.016336129016318104,1.57771701923809,0.011720803789627948,35.78555338541667,0.1669283801275182,6
0.995,999999,infinity,1.5259878764180985,0.016674887752514606,1.5719128570279086,0.011917384631616587,96.0,0.0,6
0.999,16,16,1.625349941579011,0.005710895132051666,1.6388373308712836,0.0030419549646593406,12.565898437500001,0.032223383947685494,6
0.999,32,32,1.626603576762755,0.010554695056051892,1.6515556123550004,0.007090597032578111,20.093704427083335,0.04860281109527045,6
0.999,64,64,1.5893607967530456,0.01494621134049997,1.6300848585501928,0.010638265682673526,28.15666015625,0.07975199838774787,6
0.999,128,128,1.5012920178222144,0.016964676064514385,1.545959482298214,0.012712820349055238,35.78555338541667,0.1669283801275182,6
0.999,999999,infinity,1.4746717542747882,0.01727011191904817,1.524399813101683,0.012224809342221452,96.0,0.0,6
