responders,mean_us_per_event,std_us_per_event,mean_touched
1,53.78464825000151,1.3717428900741326,9.0
2,51.31710525000699,1.904220119527297,17.9915
4,61.746696250025934,1.8514058820526473,35.94825
8,80.31724775000272,2.2099646342956167,71.786
16,115.43445624997162,2.4901088848465465,143.04625
32,186.64175975004582,3.262115827450919,283.98699999999997
64,294.0706762499872,4.181977420926167,559.828
