servers,load,mean_wait,p95_wait,ci95_p95_wait,p99_wait,prob_wait,replicates
1,0.25,0.20283781119123398,1.2375194674732632,0.016348243936914076,2.2310879734981888,0.2519506172839507,6
1,0.4,0.4010429433629128,1.927536299766446,0.03190665733923247,3.226702997018087,0.4014938271604938,6
1,0.55,0.7311990937248729,2.98143179672417,0.08642760602472974,4.827963991068673,0.5513518518518519,6
1,0.7,1.4374135375620352,5.161108366744049,0.1574529287072065,8.258047846154717,0.7038765432098765,6
1,0.8,2.4380788719073654,8.24600308027239,0.7077471163618362,13.191783635317243,0.797716049382716,6
1,0.9,5.310640296363971,16.347260167395508,1.6937661521737197,24.845570197867172,0.899179012345679,6
1,0.95,10.79503998882406,33.47033453802113,7.360042090226044,49.888251329474464,0.9455061728395061,6
1,0.98,28.47225361295769,72.66361518866493,25.795079058570845,87.80562827766973,0.9788888888888888,6
2,0.25,0.04273702611385649,0.34749107288994274,0.012623977850629345,0.9057612799562871,0.09749382716049383,6
2,0.4,0.12002292204362301,0.7927224236922329,0.009492893949782913,1.474940127412217,0.22177160493827164,6
2,0.55,0.2647307447142497,1.3275953717977733,0.07578686210931763,2.232376519264422,0.38179629629629636,6
2,0.7,0.5968089585456665,2.4071210402431604,0.05870996652167648,3.9377414849622365,0.5712839506172841,6
2,0.8,1.1023038153061913,3.936301023399069,0.1500708017529563,6.11948423954519,0.7086790123456791,6
2,0.9,2.6488854302465357,8.542896867317728,0.9889630779388193,14.13630272917971,0.8543765432098765,6
2,0.95,5.697102845375041,18.499318347355924,7.03390814975828,26.020940369082307,0.9180802469135801,6
2,0.98,12.869956682617124,39.32817181598234,18.464083199655416,49.058349981103134,0.9604938271604939,6
4,0.25,0.00490347417605956,0.0,0.0,0.19333551477371305,0.01991358024691358,6
4,0.4,0.025867078565673347,0.19490620015214552,0.01839169562399441,0.5959089389693326,0.08820987654320987,6
4,0.55,0.08251529083091212,0.552689446892365,0.009760205752467289,1.0470059439245654,0.21888271604938273,6
4,0.7,0.21848557637059443,1.0502693191044499,0.08378888998652188,1.7338938548776308,0.41448148148148145,6
4,0.8,0.46801023463482005,1.8694317216624652,0.09342080230101334,3.0710989286446355,0.5883888888888889,6
4,0.9,1.1628402279242749,4.013346331223086,0.41299071977169954,5.955771636215837,0.7794074074074073,6
4,0.95,2.5310333639450033,7.596564267079109,1.286940446696536,11.151121845679478,0.8869074074074074,6
4,0.98,5.612710439745165,15.926513940344854,9.796445615077007,20.474465636685256,0.9519135802469137,6
8,0.25,0.00016982034959235615,0.0,0.0,0.0,0.001302469135802469,6
8,0.4,0.00298232827122831,0.0,0.0,0.11069523453636794,0.018345679012345677,6
8,0.55,0.01707252916359918,0.12202677214407902,0.01943653375927223,0.4088488804700425,0.08570370370370368,6
8,0.7,0.07055840041411705,0.447309098775249,0.026887422308987198,0.7983865509488209,0.25473456790123455,6
8,0.8,0.17422691324648396,0.8151122056542163,0.052145015850886024,1.3649796984651268,0.4410123456790123,6
8,0.9,0.4915482574260131,1.8195669584733432,0.2731890276548779,2.657984289557582,0.6768148148148149,6
8,0.95,1.3896500578728463,4.778484640436652,1.2381930172144167,6.445335162661546,0.8406481481481481,6
8,0.98,4.182745924342629,12.033870697296043,4.631725778156709,14.556018147870125,0.943567901234568,6
