coupling_scale,variant,mean_risk,std_risk,ci95
0.0,no_propagation,0.07101318749999998,0.005071721790661878,0.00497028735484864
0.0,propagate,0.07624006250000001,0.004099575731986333,0.004017584217346606
0.5,no_propagation,0.07177128125000011,0.0052212288068907205,0.005116804230752906
0.5,propagate,0.07763253124999998,0.004349827007306063,0.004262830467159942
1.0,no_propagation,0.07341371875000002,0.004623917766821102,0.0045314394114846805
1.0,propagate,0.07999075000000005,0.004362638750181437,0.004275385975177809
1.5,no_propagation,0.07500543749999995,0.004910759346514041,0.0048125441595837605
1.5,propagate,0.08148253124999999,0.0044479357224904825,0.004358977008040673
2.0,no_propagation,0.07628393750000002,0.00505608118228688,0.004954959558641142
2.0,propagate,0.08347018750000008,0.004482685613255892,0.0043930319009907745
3.0,no_propagation,0.07924975,0.005692517226588018,0.005578666882056257
3.0,propagate,0.08683046875000006,0.004539468152556229,0.004448678789505105
