variant,N,T,mean_pre_action_risk,mean_post_action_risk,mean_critical_fraction,actions_per_event,mean_latency_us,p95_latency_us,contexts_stored,final_post_action_risk
full,1000,3000,0.012328541666666538,0.012147291666666537,0.0028016666666666073,0.763,1646.147100667046,1847.884000017074,5828,0.023
full,3000,3000,0.06067249999999989,0.06054840277777765,0.032641805555555875,1.0153333333333334,1662.689635664871,1876.9318999602542,9083,0.014
full,10000,3000,0.17620516666666658,0.17616110416666694,0.08792308333333325,0.963,1733.0712053353639,2064.8890998700153,11050,0.14455
full,30000,3000,0.2078247222222221,0.2078115208333329,0.09861326388888986,0.793,1731.619013668175,2081.966199693852,11671,0.20025
full,100000,3000,0.2197101083333327,0.2197058229166658,0.10003920833333388,0.835,1083.5233900024832,1279.6060499567818,11902,0.216975
