N,mean_us_per_event,std_us_per_event,mean_touched
1000,62.21298812500701,2.9331890799314126,35.51416666666667
3000,59.85326458334346,2.5695673999603943,35.838541666666664
10000,60.39368374999299,2.531160829804532,35.946666666666665
30000,59.00113937497527,2.3546418604381705,35.983125
100000,59.16339937497146,1.9496134531944143,35.99791666666667
