degree,mean_us_per_event,std_us_per_event,mean_touched
2,50.306040250006845,2.62869604079862,11.994
4,56.245369999999184,2.9010949052542476,19.98425
8,60.381359249987554,3.1121697869794915,35.94825
16,73.2668899999851,3.304053500141792,67.8065
32,106.18745549999176,7.5217560682228175,131.30675000000002
64,157.70231900000908,7.381319177339771,257.332
