servers,load,mean_wait,p95_wait,p99_wait,mean_sojourn,p95_sojourn,prob_wait
1,0.25,0.2019701373485716,1.2464589271342739,2.270560475974286,1.2028468185993355,2.4957099775577554,0.25007407407407406
1,0.4,0.4004372911704315,1.9242972096003512,3.2861921020450615,1.4028738784239076,3.0869895261895173,0.4012685185185185
1,0.55,0.7424392824660367,3.05046686280996,4.88220576862275,1.745275794722905,4.1579570579969625,0.5517685185185185
1,0.7,1.468675136894064,5.345745258701083,8.539550856720636,2.4698884505382286,6.380144437777013,0.7054814814814815
1,0.8,2.3193622357304693,7.919258525221896,12.065627772257209,3.318262026273935,8.951436524429988,0.796287037037037
1,0.9,5.262393312563229,16.382659831454188,23.53857112262911,6.263251617209839,17.394844515461397,0.900287037037037
1,0.95,11.092828043842895,32.36808484094515,41.69837634561148,12.092175116119357,33.367279796897606,0.9516944444444445
1,0.98,31.444496230082933,102.3447255688958,123.52503614006376,32.44525819204955,103.3878116870738,0.9781666666666666
2,0.25,0.043244797255424516,0.35468567121697453,0.9014415042384226,1.0425762806631669,1.9523598077623923,0.0977037037037037
2,0.4,0.11838904818255047,0.7797429440473316,1.4381920267715558,1.117411932771277,2.1567971687624152,0.22240740740740741
2,0.55,0.2732026085307306,1.354069865478398,2.329572469026582,1.2743647571201244,2.608148456271343,0.3868796296296297
2,0.7,0.5736066043287664,2.3422511875880403,3.8267010588327763,1.5725118976733492,3.4915883334573956,0.5636666666666666
2,0.8,1.0705784880661686,3.8970842916035466,6.070335298794137,2.07185805434719,4.974690212269583,0.7057314814814815
2,0.9,2.5287284343458833,7.834754537367729,11.990235716749545,3.528942712073803,8.867188429393723,0.8558240740740741
2,0.95,4.892082846630399,14.60499231142434,19.977411497062423,5.8909571247245465,15.61975492078348,0.9195185185185185
2,0.98,13.821857975205809,36.42256640245379,44.366472792818286,14.820520383539181,37.4357730437162,0.9661666666666667
4,0.25,0.004678928444652317,0.0,0.17537712838618538,1.0054091506067797,1.8621879551418707,0.01888888888888889
4,0.4,0.025041662186037053,0.18668188107210318,0.5876615317915279,1.0241000851584763,1.8992366569329604,0.08606481481481482
4,0.55,0.08055639621762091,0.5411436155861336,1.0104799355805671,1.0814407280374312,2.030448400411296,0.21819444444444447
4,0.7,0.23216958997516354,1.1095478577954125,1.8566224753332035,1.2320356160292079,2.415815566052574,0.42333333333333334
4,0.8,0.46582244718811205,1.8769463753410933,2.9647866992258174,1.4674422019557356,3.069730179070108,0.5915092592592592
4,0.9,1.0587073069211224,3.660725160923915,5.716084782884785,2.059175637045479,4.743129155611174,0.7679351851851851
4,0.95,2.646726657525955,8.269512805487677,11.73096361078255,3.6443284874622197,9.322994309273938,0.8885740740740741
4,0.98,5.651647586376427,16.581587401369603,20.476017952197438,6.651012060112413,17.60003027718019,0.9485092592592593
8,0.25,0.00015313028057455035,0.0,0.0,0.9980487822664371,1.8443608248243428,0.0010555555555555555
8,0.4,0.0027094564138042524,0.0,0.09605467333516043,1.0034188707593703,1.8544566069704074,0.016787037037037034
8,0.55,0.016987161208628466,0.12480997213726015,0.40134468687604824,1.0187513605973162,1.8777181014269215,0.08725000000000001
8,0.7,0.07441307150518334,0.4624328335634713,0.8373822172029595,1.0756844063711917,1.9933108812735016,0.26133333333333336
8,0.8,0.17691429326725694,0.8411297679520531,1.4050337873984116,1.1764978147085237,2.2302042869730365,0.43455555555555553
8,0.9,0.4813378087731486,1.754085388597975,2.6880785826272415,1.481978488048098,2.9556651841705275,0.6786388888888889
8,0.95,1.2561961052856085,4.1957476449412034,6.241068957177441,2.2546209557924524,5.280657516612604,0.8338148148148147
8,0.98,3.9006192447521357,11.551665961210558,15.4719107505883,4.900551806830721,12.574444673158402,0.9398055555555556
