N,local_mean_us,local_p95_us,global_mean_us,global_p95_us,speedup,decision_gain_match_fraction
1000,378.9371285438392,561.837050122449,499.7211657077319,729.5394999573548,1.3187442667020663,1.0
3000,642.1826428517567,763.1040001570001,646.7090571420288,1233.0604997487178,1.0070484843224219,1.0
10000,495.98843999774544,628.5703498861042,927.8676971760952,1317.3843501135707,1.8707446027982284,1.0
30000,415.75691428728794,520.8705999393716,3224.0481771480386,3435.6836999222655,7.754647166060652,1.0
100000,374.84121143799194,519.9091500571742,5394.573005705752,6486.618150097457,14.391621948426415,1.0
300000,378.75091715639945,499.15944978238264,17137.78041142827,20118.94784993729,45.24815554268739,1.0
