candidates,method,mean_regret,p95_regret,mean_greedy_ms,mean_exact_ms
8,price,0.06292339134713841,0.213555665567533,0.20439742002963612,1.9402049600103055
8,ratio,0.035886998395724574,0.155142964597887,0.2513113399800204,1.9402049600103055
8,raw,0.06878719488276355,0.213555665567533,0.1853734599717427,1.9402049600103055
10,price,0.040474899956937545,0.1679346643066193,0.25439967995225743,4.7586400599902845
10,ratio,0.04281405555700259,0.1969896453215947,0.3044698400026391,4.7586400599902845
10,raw,0.05677718998051322,0.22657819883419386,0.24385042001085822,4.7586400599902845
12,price,0.07274867442383325,0.21512247456281003,0.3259571600574418,11.334125660032441
12,ratio,0.07735558242103364,0.23463140695624424,0.3809555400221143,11.334125660032441
12,raw,0.0960122419446322,0.2884361851079264,0.30586309998398065,11.334125660032441
14,price,0.06769096685466931,0.23735985888337457,0.38162932001796435,23.190103500000987
14,ratio,0.048864458894099363,0.17349793867828417,0.4682055999910517,23.190103500000987
14,raw,0.1117212565499052,0.29608817730489706,0.3727042199443531,23.190103500000987
16,price,0.0993069013664304,0.27135139994384055,0.4288550199908059,42.822131620005166
16,ratio,0.06336688413969353,0.17883496103360255,0.5596984199837607,42.822131620005166
16,raw,0.13078514352731013,0.27835689596765295,0.4075417400235892,42.822131620005166
