candidates,trials,ratio_mean_regret,ratio_ci95,ratio_p95,swap_mean_regret,swap_ci95,swap_p95,paired_improvement,paired_improvement_ci95,wins,ratio_runtime_ms,swap_runtime_ms,exact_runtime_ms
8,50,0.041139552248352924,0.015788886730043573,0.14710400875727986,0.014354060717818964,0.011612601449167472,0.10874771686174349,0.02678549153053396,0.012036159516404242,22,0.6605967600444274,0.935492440003145,2.747419340084889
10,50,0.04512934267568793,0.016148938082783088,0.1623731465442101,0.01926031055557768,0.011470160023685982,0.10395499707949901,0.025869032120110266,0.011788188693786202,23,0.6972996399235853,1.0324482399664703,6.535459099923173
12,50,0.059153448878930384,0.020585292968563318,0.16953110862108492,0.03192334004907662,0.015962422932200723,0.1545153967612739,0.027230108829853758,0.012190907976162834,24,1.1761449800360424,1.5639740000733582,14.887367120009003
14,50,0.0745070650000853,0.023810692359011853,0.22505220745780607,0.048570333652638784,0.020588036888928754,0.16939690947266464,0.0259367313474465,0.012528337985131793,28,1.4068071801193582,2.220506300127454,31.800484100022004
16,50,0.0676018407172839,0.020183774428570708,0.18810704408262666,0.03238143413140313,0.016557615928261896,0.14791711015089348,0.03522040658588078,0.013671861215921217,30,1.6646540999863646,2.2855395999249595,61.42250499988222
