N,w,concurrent_events,label,union_bound
1167.4193588234587,205,2,cascade stress write set (w=205),1.0
1261.3637220374437,205,2,cascade stress write set (w=205),1.0
1362.867959355774,205,2,cascade stress write set (w=205),1.0
1472.5404276241222,205,2,cascade stress write set (w=205),1.0
1591.0384392721533,205,2,cascade stress write set (w=205),1.0
1719.0722018585745,205,2,cascade stress write set (w=205),1.0
1857.4090746385718,205,2,cascade stress write set (w=205),1.0
2006.8781676649664,205,2,cascade stress write set (w=205),1.0
2168.375310987435,205,2,cascade stress write set (w=205),1.0
2342.8684237322327,205,2,cascade stress write set (w=205),1.0
2531.403315241567,205,2,cascade stress write set (w=205),1.0
2735.1099530412107,205,2,cascade stress write set (w=205),1.0
2955.2092352028876,205,2,cascade stress write set (w=205),1.0
3193.020307691027,205,2,cascade stress write set (w=205),1.0
3449.9684705497157,205,2,cascade stress write set (w=205),1.0
3727.593720314938,205,2,cascade stress write set (w=205),1.0
4027.5599798502976,205,2,cascade stress write set (w=205),1.0
4351.665070924416,205,2,cascade stress write set (w=205),1.0
4701.851489299852,205,2,cascade stress write set (w=205),1.0
5080.218046913023,205,2,cascade stress write set (w=205),1.0
5489.032450921557,205,2,cascade stress write set (w=205),1.0
5930.744895010558,205,2,cascade stress write set (w=205),1.0
6408.002744415996,205,2,cascade stress write set (w=205),1.0
6923.6664026787275,205,2,cascade stress write set (w=205),1.0
7480.826455225086,205,2,cascade stress write set (w=205),1.0
8082.822192522714,205,2,cascade stress write set (w=205),1.0
8733.261623828437,205,2,cascade stress write set (w=205),1.0
9436.04310147889,205,2,cascade stress write set (w=205),1.0
10195.378685327301,205,2,cascade stress write set (w=205),1.0
11015.819387358995,205,2,cascade stress write set (w=205),1.0
11902.282447787144,205,2,cascade stress write set (w=205),1.0
12860.08080610565,205,2,cascade stress write set (w=205),1.0
13894.95494373136,205,2,cascade stress write set (w=205),1.0
15013.107289081743,205,2,cascade stress write set (w=205),1.0
16221.239391291729,205,2,cascade stress write set (w=205),1.0
17526.592085367585,205,2,cascade stress write set (w=205),1.0
18936.988889503602,205,2,cascade stress write set (w=205),1.0
20460.88289466011,205,2,cascade stress write set (w=205),1.0
22107.407427431233,205,2,cascade stress write set (w=205),1.0
23886.430789846003,205,2,cascade stress write set (w=205),1.0
25808.615404180768,205,2,cascade stress write set (w=205),1.0
27885.481717262915,205,2,cascade stress write set (w=205),1.0
30129.47724726992,205,2,cascade stress write set (w=205),1.0
32554.05118685032,205,2,cascade stress write set (w=205),1.0
35173.7350096938,205,2,cascade stress write set (w=205),1.0
38004.22956365882,205,2,cascade stress write set (w=205),1.0
41062.49917244294,205,2,cascade stress write set (w=205),1.0
44366.87330978607,205,2,cascade stress write set (w=205),0.947215723464797
47937.15645558219,205,2,cascade stress write set (w=205),0.8766686033815898
51794.74679231213,205,2,cascade stress write set (w=205),0.8113757205631856
55962.76445319552,205,2,cascade stress write set (w=205),0.750945747777482
60466.19009070435,205,2,cascade stress write set (w=205),0.6950165032220317
65332.014595937704,205,2,cascade stress write set (w=205),0.64325277981881
70589.40086618738,205,2,cascade stress write set (w=205),0.5953443361796565
76269.85859023451,205,2,cascade stress write set (w=205),0.5510040372014119
82407.43309893666,205,2,cascade stress write set (w=205),0.5099661331465773
89038.90941296735,205,2,cascade stress write set (w=205),0.47198466689529794
96204.0327106476,205,2,cascade stress write set (w=205),0.4368319998226934
103945.74653722627,205,2,cascade stress write set (w=205),0.40429744746649654
112310.45018329515,205,2,cascade stress write set (w=205),0.3741860168079953
121348.27677491431,205,2,cascade stress write set (w=205),0.3463172375982813
131113.3937421563,205,2,cascade stress write set (w=205),0.32052408072546057
141664.32746690192,205,2,cascade stress write set (w=205),0.2966519571401531
153064.31405563562,205,2,cascade stress write set (w=205),0.27455779133942876
165381.6783395673,205,2,cascade stress write set (w=205),0.2541091638561851
178690.24337358287,205,2,cascade stress write set (w=205),0.2351835176145542
193069.77288832495,205,2,cascade stress write set (w=205),0.21766742339469172
208606.44934719568,205,2,cascade stress write set (w=205),0.20145590000458413
225393.39047347935,205,2,cascade stress write set (w=205),0.18645178508437596
243531.20734334175,205,2,cascade stress write set (w=205),0.17256515277219145
263128.6073895944,205,2,cascade stress write set (w=205),0.1597127747412762
284303.0459302665,205,2,cascade stress write set (w=205),0.1478176213782382
307181.43012686964,205,2,cascade stress write set (w=205),0.13680840011273848
331900.87959146773,205,2,cascade stress write set (w=205),0.12661912813165183
358609.54820118286,205,2,cascade stress write set (w=205),0.11718873691679742
387467.5120456128,205,2,cascade stress write set (w=205),0.10846070623606968
418647.7288289947,205,2,cascade stress write set (w=205),0.10038272539432784
452337.07447720965,205,2,cascade stress write set (w=205),0.09290637971377995
488737.4631624417,205,2,cascade stress write set (w=205),0.08598686036480929
528067.0574582637,205,2,cascade stress write set (w=205),0.07958269580813888
570561.5758781021,205,2,cascade stress write set (w=205),0.07365550323875728
616475.7056337161,205,2,cascade stress write set (w=205),0.06816975854190349
666084.6290809154,205,2,cascade stress write set (w=205),0.06309258338236602
719685.6730011528,205,2,cascade stress write set (w=205),0.058393548151031045
777600.0906038043,205,2,cascade stress write set (w=205),0.054044489587659
840174.9869294344,205,2,cascade stress write set (w=205),0.05001934198682548
