comparison,mean_advantage,ci95_lo_t,ci95_hi_t,n,full_wins
fixed_memory,0.0011586388888888018,0.000327951680303268,0.0019893260974743355,6,5
no_propagation,-0.008250847222222302,-0.009509488314262732,-0.006992206130181871,6,0
random,0.055356652777777876,0.05204554265106806,0.05866776290448769,6,6
no_control,0.2103111388888889,0.203111846009964,0.2175104317678138,6,6
