processes,wall_seconds,speedup
1,2.2155969850000474,1.0
2,1.045375917499996,2.119426081957791
3,0.8465431385000102,2.6172286847966943
4,0.7272238935000246,3.0466504260973823
5,0.7443580320000365,2.9765205583217766
