N,mean_latency_us,std_latency_us,mean_p95_us,mean_contexts
1000,1327.908467777787,484.6364187129642,1514.4726831977093,4009.6666666666665
3000,1568.1127695555308,508.68048284991926,1773.3006168858383,5250.0
10000,1324.3436584473077,464.8031237624218,1755.9606332649003,5750.333333333333
30000,1831.4951908913727,116.59920890154206,2128.852650010534,5912.333333333333
100000,1853.8383106673184,133.82970376262656,2191.811200214033,5976.0
