samples_per_edge,mean_candidate_evaluations,candidate_fraction,mean_value_regret,p95_value_regret,zero_regret_fraction,mean_gated_value,mean_oracle_local_value
20,5.42,0.15055555555555555,0.6163643489357636,0.8670233353606154,0.015714285714285715,0.9010229346805949,2.50085728557361
50,6.035714285714286,0.16765873015873015,0.5693742207678348,0.8730768273657318,0.015714285714285715,1.0143897073145896,2.4891601408912383
100,6.574285714285714,0.1826190476190476,0.5089101694119676,0.8555478584331592,0.03,1.166189668256405,2.4951308412849746
200,9.094285714285714,0.25261904761904763,0.33448548814506623,0.7448645891195135,0.12285714285714286,1.6756904055880097,2.5527275394316655
500,9.072857142857142,0.2520238095238095,0.21331933090913502,0.6138971266549144,0.2557142857142857,1.9533646202313548,2.5021770274232495
1000,13.182857142857143,0.3661904761904762,0.06532023588545051,0.2954265939765316,0.5242857142857142,2.3247071790708196,2.490046998563481
