candidates,trial,method,exact_value,greedy_value,relative_regret,greedy_ms,exact_ms
8,0,raw,2.297807874373266,2.1496074037194157,0.06449645869294984,0.22576900028070668,3.4561829997983295
8,0,ratio,2.297807874373266,2.297807874373266,0.0,0.20844399978159345,3.4561829997983295
8,0,price,2.297807874373266,2.208309632170319,0.03894940181948754,0.1971149999917543,3.4561829997983295
8,1,raw,2.4348000991845673,2.161239528196472,0.11235442740441515,0.18139699977837154,1.9281790000604815
8,1,ratio,2.4348000991845673,2.161239528196472,0.11235442740441515,0.19948299996030983,1.9281790000604815
8,1,price,2.4348000991845673,2.161239528196472,0.11235442740441515,0.2044080001724069,1.9281790000604815
8,2,raw,2.8335086477022617,2.6787320675660418,0.0546236484090955,0.501658999837673,2.4584259999755886
8,2,ratio,2.8335086477022617,2.8335086477022613,1.567276705543785e-16,0.6727689997205744,2.4584259999755886
8,2,price,2.8335086477022617,2.6787320675660418,0.0546236484090955,0.7151140002861212,2.4584259999755886
8,3,raw,2.8215858469616846,2.8215858469616846,0.0,0.18510299969420885,1.6975970002022223
8,3,ratio,2.8215858469616846,2.7262680121021847,0.03378165330753242,0.44098700027461746,1.6975970002022223
8,3,price,2.8215858469616846,2.7262680121021847,0.03378165330753242,0.4116439999961585,1.6975970002022223
8,4,raw,3.952194377327455,3.9521943773274546,1.123652248476614e-16,0.20410500019352185,2.1925959999862243
8,4,ratio,3.952194377327455,3.5884993485786185,0.09202356818157655,0.2591820002635359,2.1925959999862243
8,4,price,3.952194377327455,3.9521943773274546,1.123652248476614e-16,0.21779400003651972,2.1925959999862243
8,5,raw,3.3504644938618067,3.350464493861807,-1.3254556514884813e-16,0.21667999999408494,2.032095000231493
8,5,ratio,3.3504644938618067,3.350464493861807,-1.3254556514884813e-16,0.44178500002090004,2.032095000231493
8,5,price,3.3504644938618067,3.350464493861807,-1.3254556514884813e-16,0.20150099999227677,2.032095000231493
8,6,raw,2.1517480560258107,1.9507526011065979,0.09341031091272044,0.13650600021719583,1.9706099997165438
8,6,ratio,2.1517480560258107,2.1517480560258107,0.0,0.19453200002317317,1.9706099997165438
8,6,price,2.1517480560258107,1.778782144287617,0.1733315899571654,0.13484600003721425,1.9706099997165438
8,7,raw,1.778296733053212,1.742848403596939,0.01993386637752562,0.1467309998588462,1.6329250001945184
8,7,ratio,1.778296733053212,1.778296733053212,0.0,0.198503999854438,1.6329250001945184
8,7,price,1.778296733053212,1.742848403596939,0.01993386637752562,0.14779699995415285,1.6329250001945184
8,8,raw,2.9706317940302203,2.97063179403022,1.4949318550434423e-16,0.226734999614564,1.975010000023758
8,8,ratio,2.9706317940302203,2.97063179403022,1.4949318550434423e-16,0.25124000012510805,1.975010000023758
8,8,price,2.9706317940302203,2.97063179403022,1.4949318550434423e-16,0.22759200010114,1.975010000023758
8,9,raw,3.312115961109968,3.175782906393705,0.041161920753093044,0.21855299974049558,2.243661000193242
8,9,ratio,3.312115961109968,3.312115961109967,2.681604237680361e-16,0.31206699986796593,2.243661000193242
8,9,price,3.312115961109968,3.312115961109967,2.681604237680361e-16,0.2314809999006684,2.243661000193242
8,10,raw,3.0627414864805704,2.607949515923064,0.14849179160730047,0.18522300024415017,2.4435989998892182
8,10,ratio,3.0627414864805704,3.0627414864805704,0.0,0.256695000189211,2.4435989998892182
8,10,price,3.0627414864805704,3.0627414864805704,0.0,0.21611000011034776,2.4435989998892182
8,11,raw,3.0611334994512647,3.0611334994512647,0.0,0.16005700035748305,2.268438000101014
8,11,ratio,3.0611334994512647,2.9114268830069054,0.048905615018487586,0.22829599993201555,2.268438000101014
8,11,price,3.0611334994512647,3.0611334994512647,0.0,0.16183400020963745,2.268438000101014
8,12,raw,2.7652917309922236,2.7652917309922236,0.0,0.18360300009589992,1.8768350000755163
8,12,ratio,2.7652917309922236,2.4973806189553938,0.09688348937444649,0.2681789997041051,1.8768350000755163
8,12,price,2.7652917309922236,2.7652917309922236,0.0,0.20915000004606554,1.8768350000755163
8,13,raw,2.554440706444631,2.3814635174090246,0.06771626704789031,0.24306399973283987,2.6604869999573566
8,13,ratio,2.554440706444631,2.3814635174090246,0.06771626704789031,0.2548869997553993,2.6604869999573566
8,13,price,2.554440706444631,2.3814635174090246,0.06771626704789031,0.21663500001523062,2.6604869999573566
8,14,raw,3.2356809307821823,3.235680930782182,1.3724752821740987e-16,0.20429799997145892,2.0894829999633657
8,14,ratio,3.2356809307821823,3.235680930782182,1.3724752821740987e-16,0.3818380000666366,2.0894829999633657
8,14,price,3.2356809307821823,3.235680930782182,1.3724752821740987e-16,0.27527399970495026,2.0894829999633657
8,15,raw,1.907796476797715,1.5552068953162306,0.1848150920549528,0.12139799991928157,1.8498839999665506
8,15,ratio,1.907796476797715,1.8965996835741388,0.005868966296850618,0.24981400019896682,1.8498839999665506
8,15,price,1.907796476797715,1.5552068953162306,0.1848150920549528,0.12183999979242799,1.8498839999665506
8,16,raw,2.0893596020112546,1.9091302667228323,0.08626056286095049,0.14341599990075338,1.6455760001008457
8,16,ratio,2.0893596020112546,2.0893596020112546,0.0,0.19790000033026445,1.6455760001008457
8,16,price,2.0893596020112546,1.9091302667228323,0.08626056286095049,0.1814679999370128,1.6455760001008457
8,17,raw,2.868856580442055,2.8688565804420545,1.547965879080766e-16,0.15974799998730305,1.655838000260701
8,17,ratio,2.868856580442055,2.8688565804420545,1.547965879080766e-16,0.19621499995992053,1.655838000260701
8,17,price,2.868856580442055,2.8688565804420545,1.547965879080766e-16,0.16536600014660507,1.655838000260701
8,18,raw,2.787929184059571,2.5951434756280714,0.06915014539601022,0.16318899997713743,1.543108000078064
8,18,ratio,2.787929184059571,2.653102678398253,0.04836080716547953,0.22016999992047204,1.543108000078064
8,18,price,2.787929184059571,2.7879291840595704,1.5928998928280296e-16,0.19192300032955245,1.543108000078064
8,19,raw,3.2306714312554443,3.2306714312554443,0.0,0.19787799965342856,2.817318999859708
8,19,ratio,3.2306714312554443,3.2306714312554443,0.0,0.23710599998594262,2.817318999859708
8,19,price,3.2306714312554443,3.2306714312554443,0.0,0.1976570001716027,2.817318999859708
8,20,raw,2.707079405144482,2.707079405144482,0.0,0.30597599970860756,1.8856189999496564
8,20,ratio,2.707079405144482,2.693986714029779,0.004836463640417058,0.2376689999437076,1.8856189999496564
8,20,price,2.707079405144482,2.707079405144482,0.0,0.2190540003539354,1.8856189999496564
8,21,raw,2.935004465269663,2.4741517206814914,0.15701943558911394,0.1540709999972023,1.6897630002858932
8,21,ratio,2.935004465269663,2.935004465269663,0.0,0.22242700015340233,1.6897630002858932
8,21,price,2.935004465269663,2.4741517206814914,0.15701943558911394,0.16120199961733306,1.6897630002858932
8,22,raw,2.055757236462842,1.600066697245982,0.22166554062624924,0.1619280001250445,1.7897610000545683
8,22,ratio,2.055757236462842,1.7528067955286626,0.14736683668711742,0.21590799997284194,1.7897610000545683
8,22,price,2.055757236462842,1.600066697245982,0.22166554062624924,0.16406300028393161,1.7897610000545683
