lambda,mean_hamming_disagreement,std
0.5,0.1363690476190476,0.034470864574813714
0.7,0.09226190476190474,0.029913897603643522
0.8,0.06416666666666665,0.025575573841543863
0.9,0.0306547619047619,0.014595475994332415
0.95,0.014940476190476188,0.008693125819170944
0.98,0.007619047619047618,0.006743813827746926
1.0,0.0,0.0
