trial,bins,test_logloss,excess_vs_64bin
0,1,1.0665001982037985,0.014657307697009125
0,2,1.0482159392877795,-0.0036269512190099107
0,4,1.0392156933343173,-0.012627197172472071
0,8,1.0382700580749153,-0.013572832431874016
0,16,1.0398500971109754,-0.011992793395813939
0,32,1.0428039278348786,-0.009038962671910733
0,64,1.0518428905067894,0.0
1,1,0.9409755077903154,-0.006516366407554264
1,2,0.9364356934604046,-0.01105618073746506
1,4,0.9337073251493537,-0.013784549048515893
1,8,0.9342866150331065,-0.013205259164763117
1,16,0.93618359786867,-0.011308276329199618
1,32,0.9407704175950595,-0.006721456602810094
1,64,0.9474918741978696,0.0
2,1,0.9722123914409525,0.02801034790739787
2,2,0.948907687322844,0.004705643789289393
2,4,0.9376945590628961,-0.00650748447065852
2,8,0.9325561281078552,-0.011645915425699482
2,16,0.9317397206730496,-0.012462322860505082
2,32,0.9358297350328418,-0.0083723085007128
2,64,0.9442020435335546,0.0
3,1,1.022704685103536,0.010241958666492135
3,2,1.0094614718592052,-0.003001254577838619
3,4,1.0019990884327035,-0.010463638004340359
3,8,0.9988580738223325,-0.013604652614711332
3,16,1.0002311386753493,-0.012231587761694529
3,32,1.0037670152887268,-0.00869571114831702
3,64,1.0124627264370438,0.0
4,1,0.9862924961903914,0.0075999416075489545
4,2,0.977920572683669,-0.0007719818991733796
4,4,0.9732236743088526,-0.00546888027398984
4,8,0.971087838698262,-0.0076047158845804486
4,16,0.9712655406925379,-0.007427013890304535
4,32,0.9731149975407425,-0.005577557042099945
4,64,0.9786925545828424,0.0
5,1,1.1929108614523618,0.024367050052158223
5,2,1.166488788113147,-0.0020550232870566454
5,4,1.1576675408125872,-0.010876270587616421
5,8,1.1546043864757798,-0.013939424924423793
5,16,1.1548559110880798,-0.013687900312123746
5,32,1.1601233704872327,-0.008420440912970895
5,64,1.1685438114002036,0.0
6,1,1.171231274825027,0.009692399783265637
6,2,1.1590950042851118,-0.0024438707566496465
6,4,1.1525406389856439,-0.008998236056117603
6,8,1.1506813479153664,-0.010857527126395095
6,16,1.1498412976448473,-0.011697577396914127
6,32,1.1517804290191624,-0.00975844602259901
6,64,1.1615388750417615,0.0
7,1,1.141394115664857,0.027217409865791575
7,2,1.1165061484299594,0.002329442630893963
7,4,1.1068786110853097,-0.007298094713755754
7,8,1.1026784615714498,-0.011498244227615695
7,16,1.1013695020234469,-0.012807203775618614
7,32,1.105233183382647,-0.008943522416418492
7,64,1.1141767057990655,0.0
