candidates,trial,ratio_regret,swap_regret,paired_improvement,ratio_runtime_ms,swap_runtime_ms,exact_runtime_ms
8,0,0.0,0.0,0.0,0.48473199967702385,0.7033679994492559,2.1375209998950595
8,1,0.1304207612884424,0.1304207612884424,0.0,0.5542450007851585,0.7836260010662954,1.8541400004323805
8,2,0.0,0.0,0.0,0.4961680006090319,0.7674220005355892,2.3212050000438467
8,3,0.10860545328801777,0.0822584403402229,0.026347012947794873,0.48767599946586415,0.7305379986064509,1.9384349998290418
8,4,0.10308951862897031,0.0,0.10308951862897031,0.48238799990940606,0.7426949996443,2.162818999750016
8,5,0.14013703822976784,0.05897884225502398,0.08115819597474386,0.44195800001034513,0.6920810001247446,1.9352210001670755
8,6,0.0,0.0,0.0,0.4990130000805948,0.6897570001456188,2.3664119999011746
8,7,0.0,0.0,0.0,0.6925610005055205,0.9677400003056391,2.1739359999628505
8,8,0.07592684077167174,0.0,0.07592684077167174,0.5231489994912408,0.7115290000001551,2.174595999349549
8,9,0.05804085595160707,0.0,0.05804085595160707,0.603318000685249,0.8334000003742403,2.3403330005749012
8,10,0.0,0.0,0.0,0.9841049995884532,1.2266359999557608,2.9671069996766164
8,11,0.0,0.0,0.0,1.0199779999311431,1.3371199993343907,3.9385520003634156
8,12,0.003492902343759116,0.0,0.003492902343759116,0.6161270002849051,0.8172360003300128,2.8420600001481944
8,13,0.07085392506746392,0.0,0.07085392506746392,0.527314999999362,0.8460589997412171,2.3498679993281257
8,14,0.0,0.0,0.0,0.9521570000288193,1.3451819995680125,3.946109000025899
8,15,0.0,0.0,0.0,1.0056359997179243,1.2590329997692606,3.5772239998550504
8,16,0.09087549520009934,0.0,0.09087549520009934,0.6858569995529251,0.9321839997937786,2.8700420007226057
8,17,0.0,0.0,0.0,0.5120529995110701,0.6933629993000068,2.12112699955469
8,18,0.0,0.0,0.0,0.557219999791414,0.762064999435097,2.4587900006736163
8,19,0.13488677648313963,0.0,0.13488677648313963,0.5954260004727985,0.7779980005580001,2.300273999935598
8,20,0.19299547514377804,0.19299547514377818,-1.3877787807814457e-16,0.7098360001691617,0.9126579998337547,2.5899950005623396
8,21,0.0,0.0,0.0,1.050132999807829,1.4051019998078118,3.3793900001910515
8,22,0.10210279343005003,0.0,0.10210279343005003,0.4886480001005111,0.7440979998136754,1.9327569998495164
8,23,0.0,0.0,0.0,0.41916400004993193,0.6525509998027701,2.063060000182304
8,24,0.08002109033716105,0.053691140298025866,0.026329950039135186,0.709846999598085,0.9774049995030509,2.6118980003957404
8,25,0.03545423444006457,0.03545423444006457,0.0,0.4697089998444426,0.7413330004055751,2.682743000150367
8,26,1.897373186822757e-16,0.0,1.897373186822757e-16,1.0227820002910448,1.3233689996923204,3.884331999870483
8,27,0.15280425737069883,0.15280425737069883,0.0,0.9689620001154253,1.2612569998964318,4.136487000323541
8,28,0.0,0.0,0.0,1.021460000629304,1.4208340007826337,4.301672000110557
8,29,0.0,0.0,0.0,1.0062569999718107,1.3884359996154672,4.0528619992983295
8,30,0.016625360838508338,0.0,0.016625360838508338,0.736116000553011,0.9643860012147343,2.4768769999354845
8,31,0.04989123076498556,0.0,0.04989123076498556,0.4486170000745915,0.6531210001412546,2.113284999722964
8,32,0.0,0.0,0.0,0.5465429994728765,0.9096730000237585,2.6333900004829047
8,33,0.07125778382497125,0.0,0.07125778382497125,0.5757270000685821,0.9135199998127064,2.93423699986306
8,34,0.0,0.0,0.0,0.448007000159123,0.7530809998570476,2.2635189998254646
8,35,0.10444382515204712,0.0,0.10444382515204712,0.9130590005952399,1.2599150013556937,2.8129669999543694
8,36,0.04352315505951527,0.0,0.04352315505951527,0.5614750007225666,0.7873610002206988,2.3989600003915257
8,37,0.011362960303256198,0.0,0.011362960303256198,0.5324819994712016,0.792117999480979,1.9093720002274495
8,38,0.0,0.0,0.0,1.0114249998878222,1.3533940000343136,3.773305999857257
8,39,0.1575024694525748,0.011099884754691473,0.1464025846978833,0.8918580006138654,1.4558170005329885,4.587987999912002
8,40,0.0,0.0,0.0,0.8636060001663282,1.2495410001065466,3.3575670004211133
8,41,0.014510182022236313,0.0,0.014510182022236313,0.8679610000399407,1.3821560005453648,3.9290980002988363
8,42,0.0,0.0,0.0,0.5495980003615841,0.8564650006519514,3.3314280008198693
8,43,0.0,0.0,0.0,0.46209799984353594,0.7430160003423225,2.710114000365138
8,44,-1.3881138665099824e-16,0.0,-1.3881138665099824e-16,0.5586219995166175,0.7517590001953067,2.298831999723916
8,45,0.0,0.0,0.0,0.4625980000128038,0.6100969994804473,1.9288600005893386
8,46,0.0,0.0,0.0,0.4283779999241233,0.723877999917022,1.7178970001623384
8,47,0.0,0.0,0.0,0.51625900050567,0.6230980006876052,2.2279060003711493
8,48,1.609331224117384e-16,0.0,1.609331224117384e-16,0.5965579994153813,0.8102359988697572,3.544125000189524
8,49,0.10815322702485945,0.0,0.10815322702485945,0.4709710001407075,0.735914999495435,2.0102720000068075
10,0,0.11610159614379181,0.09416261347046884,0.021938982673322976,0.6626960002904525,1.0771520001071622,5.327218999809702
10,1,0.023475632035401074,0.00334627649018434,0.020129355545216734,0.7461509994755033,1.1190659997737384,6.02010100010375
10,2,-2.268785288682389e-16,0.0,-2.268785288682389e-16,0.8112669993352029,1.1956589987676125,7.562144999610609
10,3,0.0,0.0,0.0,0.6291459994827164,0.9649160001572454,4.367649999949208
10,4,0.1513517669950992,0.0,0.1513517669950992,1.0917250001512002,1.630056000976765,9.050740999555273
10,5,0.15719921900593123,0.028054986342570774,0.12914423266336045,0.7907469998826855,1.1775319999287603,10.037689999990107
10,6,0.0,0.0,0.0,1.1268769994785544,1.8047759995170054,11.220520999813743
10,7,0.0192650254634447,0.0,0.0192650254634447,0.707993000105489,1.0185749997617677,8.592629000304441
10,8,0.0071864853812985815,0.0,0.0071864853812985815,0.6209940002008807,0.9480610005994095,5.387848999816924
10,9,0.0,0.0,0.0,0.654774000395264,0.9643150006013457,6.360816999404051
10,10,0.0,0.0,0.0,0.686192000102892,0.9270199998354656,5.08086199988611
10,11,0.17585460114571957,0.15900447334189677,0.016850127803822806,0.5833790000906447,0.9377160004078178,5.3629719996024505
10,12,-1.405405126182305e-16,0.0,-1.405405126182305e-16,0.6653509999523521,0.9739300003275275,6.310762999419239
10,13,0.0,0.0,0.0,0.6671229994026362,0.9705149996079854,7.0249450000119396
10,14,0.0,0.0,0.0,0.8440259998678812,1.152986000306555,5.070005999186833
10,15,0.07273835530623952,0.0,0.07273835530623952,0.6718099994031945,1.0282209996148595,5.468538999593875
10,16,0.053728099269173546,0.0,0.053728099269173546,0.7532709996667108,1.11114399987855,5.422641000222939
10,17,0.11212943230495787,0.0,0.11212943230495787,0.6840280002506915,1.037343999996665,5.689198000254692
10,18,0.0,0.0,0.0,0.5557579997912399,0.8461999996143277,4.766545000165934
10,19,0.052718817239541825,0.052718817239542,-1.734723475976807e-16,0.5162980005479767,0.8003610009836848,4.906502999801887
10,20,0.1666063599846201,0.0953843470022237,0.07122201298239639,0.7817139994585887,1.2358699996184441,6.419514999834064
10,21,0.05674931510926202,0.0,0.05674931510926202,0.7098559999576537,1.0271490000377526,5.694154999218881
10,22,0.0,1.28247919992483e-16,-1.28247919992483e-16,0.9504750005362439,1.214507999975467,5.762476999734645
10,23,-2.397438579967527e-16,-1.1987192899837634e-16,-1.1987192899837634e-16,1.0481799999979557,1.3375600001381827,5.431714999758697
10,24,-1.5329086962647267e-16,-1.5329086962647267e-16,0.0,0.6768979992557433,1.3620079998872825,6.749294999281119
10,25,-1.7841033649352342e-16,-1.7841033649352342e-16,0.0,0.6561459995282348,0.9294929996030987,6.010645999594999
10,26,0.048105167646799285,0.048105167646799285,0.0,0.5875139995623613,0.9448259997952846,4.654898999433499
10,27,0.06572565590509888,0.030265369829792336,0.035460286075306546,0.5575499999395106,0.8846169994285447,4.505726000388677
10,28,0.033683079306453895,-1.442352365585001e-16,0.03368307930645404,0.7181490000220947,1.0580750004010042,5.775806999736233
10,29,1.6124057151062333e-16,1.6124057151062333e-16,0.0,0.5525830001715804,0.9448070004509646,4.858551999859628
10,30,0.0051251900348642295,0.0051251900348642295,0.0,0.6803630003560102,0.8611720004410017,5.522219000340556
10,31,0.004846100835925511,0.0,0.004846100835925511,0.6935619994692388,0.9013209992190241,5.807653999909235
10,32,0.026475376344201905,0.026475376344201905,0.0,0.6563770002685487,0.9760530001585721,5.92653099920426
10,33,0.013539760863293624,0.013539760863293624,0.0,0.545201999557321,0.8896249992176308,4.688748999797099
10,34,0.0,0.0,0.0,0.7031670002106694,0.9753019994604983,4.81007899998076
10,35,0.08761282104115664,0.013903414918233997,0.07370940612292265,0.5599840005743317,0.8915470007195836,4.7980019999158685
10,36,0.0,0.0,0.0,0.6760859996575164,1.0493709987713373,4.741808000289893
10,37,0.12085531634038536,0.03877961755916514,0.08207569878122023,0.5799029995614546,0.9038449998115539,4.995235000023968
10,38,0.11096734714272435,0.11096734714272435,0.0,0.6522100002257503,0.9272289998989436,5.723838999983855
10,39,0.021824680841462423,0.0,0.021824680841462423,0.6469729996751994,0.9650660003899247,5.733844000133104
10,40,0.0,0.0,0.0,0.5806339995615417,0.8240959996328456,4.400529000122333
10,41,0.0,0.0,0.0,0.652030000310333,0.8932790005928837,4.895306000435085
10,42,0.0,0.0,0.0,0.6568070002686,0.9236050009349128,6.1620110000149
10,43,0.13868003622079378,0.0,0.13868003622079378,0.7779580000715214,1.128969999626861,5.79596700026741
10,44,0.07788813154837998,0.07788813154837998,0.0,0.6095879998611053,0.9544710001136991,5.602429000646225
10,45,0.07578060399829392,1.983935620397234e-16,0.07578060399829373,0.6484049999926356,0.8903349998945487,5.067863000476791
10,46,0.0,-1.461447279448014e-16,1.461447279448014e-16,0.7505869998567505,1.0646749997249572,5.994953000481473
10,47,0.17405780807406937,0.16529463800454303,0.008763170069526344,0.6224959997780388,0.9355009997307207,5.138628000167955
10,48,0.0,0.0,0.0,0.6337430004350608,0.8625939999546972,4.93552600073599
10,49,0.0861953522560137,0.0,0.0861953522560137,0.8302360001835041,1.179896999929042,41.13865999988775
12,0,0.0,0.0,0.0,18.217894999907003,18.947350999951595,13.164983999558899
12,1,0.0307520659336914,0.0,0.0307520659336914,0.9827430003497284,1.3641110008393298,16.74816800004919
12,2,0.1185694018994716,0.0,0.1185694018994716,0.8376860005228082,1.1612670004979009,32.696334999855026
12,3,0.028427658724964104,0.0,0.028427658724964104,1.0042150006484007,1.3669150002897368,13.541835000069113
12,4,0.0,0.0,0.0,0.666883000121743,0.9854170002654428,23.87271200041141
12,5,-1.1463641396536857e-16,0.0,-1.1463641396536857e-16,0.881713000126183,1.128931000494049,12.063305000083346
12,6,-1.3514415479343355e-16,0.0,-1.3514415479343355e-16,1.0479289994691499,1.5886139990470838,36.394349000147486
12,7,0.013817402746067003,0.0,0.013817402746067003,0.7985389993336867,1.1313539989714627,11.716217999492073
12,8,-1.4367750462834074e-16,-1.4367750462834074e-16,0.0,0.7384689997707028,0.9962929998437176,10.477144000105909
12,9,0.0,0.0,0.0,0.9509359997537103,1.3610669993795455,13.2747580000796
12,10,0.05825339411676716,0.05825339411676701,1.457167719820518e-16,0.88472700008424,1.2075579998054309,11.112420000245038
12,11,0.017746500586625896,0.0,0.017746500586625896,0.7064520004860242,1.0530180006753653,11.33521199972165
12,12,0.0,0.0,0.0,0.879979999808711,1.360624999506399,12.642927999877429
12,13,0.008288171195826678,0.0,0.008288171195826678,0.8451779995084507,1.0989859993060236,12.806851999812352
12,14,0.14750396410410863,0.10869849322884562,0.03880547087526301,0.7131909997042385,1.0554709997450118,12.094470999727491
12,15,0.018423735416300754,0.018423735416300754,0.0,0.9523669996269746,1.3361979999899631,11.902454999471956
12,16,0.0,0.0,0.0,0.7542830007878365,1.2393950009936816,11.502209999889601
12,17,0.0,0.0,0.0,0.9805700001379591,1.2978420008948888,12.260539000635617
12,18,0.037757083574470975,0.0,0.037757083574470975,0.7306179995794082,1.124003999393608,10.161053999581782
12,19,0.0,0.0,0.0,0.8413020004809368,1.222580000103335,11.5545580001708
12,20,0.24318470817385082,0.14187798578730648,0.10130672238654434,0.784828000178095,1.1001769998983946,11.179519000506843
12,21,0.09174316623604628,0.09174316623604628,0.0,0.6973779991312767,1.101398998798686,11.875425000653195
12,22,0.0,-1.5409048489444678e-16,1.5409048489444678e-16,0.7754739999654703,1.1009480003849603,11.392696999791951
12,23,0.16920659548829045,0.16920659548829045,0.0,0.6482250000772183,1.0416300001452328,10.988434999489982
12,24,0.1172291123751059,0.0442678929380981,0.0729612194370078,1.1146890001327847,1.5811630000825971,11.901023999598692
12,25,0.0,0.0,0.0,0.7759649997751694,1.1677779993988224,11.281961999884516
12,26,0.09900180022474117,0.0,0.09900180022474117,0.6477339993580244,1.070803999027703,11.000202000104764
12,27,0.12466336830133576,0.07390283375009427,0.05076053455124149,0.941942000281415,1.4140750008664327,34.568111000226054
12,28,0.1632063543241154,0.12237370026044245,0.04083265406367295,0.7562050004707999,1.1819689998446847,35.43988799992803
12,29,0.04857299450441243,0.0,0.04857299450441243,0.6765569996787235,1.1391349989935406,10.356454999964626
12,30,0.13621956165236226,0.13621956165236226,0.0,1.1588240004130057,1.506121000602434,36.70858700024837
12,31,0.11809062632402968,0.11809062632402968,0.0,0.9270900000046822,1.382869000735809,11.900563000381226
12,32,0.10951530310961928,1.769372509347999e-16,0.1095153031096191,0.7558550005342113,1.1077690005549812,36.58622500006459
12,33,0.0,0.0,0.0,0.844596999741043,1.1006080003426177,10.794417000397516
12,34,1.4631062806561425e-16,0.0,1.4631062806561425e-16,0.7743730002403026,1.2067170009686379,11.948032999498537
12,35,0.04402329746111519,0.04402329746111519,0.0,0.7003219998296117,1.0464370006957324,10.539646999859542
12,36,0.0,0.0,0.0,0.844576999952551,1.2348680002105539,11.535268999978143
12,37,0.0,0.0,0.0,0.8527390000381274,1.272243000130402,13.869503000023542
12,38,0.0849092949643634,0.08490929496436356,-1.5265566588595902e-16,0.8112479999908828,1.3227090003056219,11.324214999149262
12,39,0.0,0.0,0.0,0.8424540001215064,1.2557090003610938,11.68682500065188
12,40,0.016020870975374652,0.016020870975374652,0.0,0.9768540003278758,1.3242310005807667,11.866832000123395
12,41,0.10660718810184773,1.2158470886105287e-16,0.1066071881018476,0.8122890003505745,1.2726240001939004,12.260639000487572
12,42,0.036601769322702295,0.0,0.036601769322702295,0.8378769998671487,1.2696999992840574,13.297422000505321
12,43,0.16485509664906553,0.16485509664906553,0.0,0.7250899998325622,1.006158000564028,10.901366000325652
12,44,0.0,0.0,0.0,0.7937909995234804,1.1383129995010677,11.192549000043073
12,45,0.023328661502345218,0.0,0.023328661502345218,0.6140940004115691,0.921130999813613,10.442443000101775
12,46,0.11428610008252169,0.0,0.11428610008252169,1.004405000458064,1.4194220002536895,11.560686999473546
12,47,0.16979661936609858,0.0,0.16979661936609858,0.7835160004106001,1.1097910000898992,11.435201000494999
12,48,0.2970705765088814,0.20330045720532902,0.09377011930355239,0.7984580006450415,1.2587030014401535,12.463731000025291
12,49,-1.574624681052638e-16,-1.574624681052638e-16,0.0,0.7141229998524068,1.1165019996042247,10.74797699948249
14,0,0.0917545914208966,0.060313501109785755,0.03144109031111085,0.9593080003469368,1.5077540001584566,25.706221000291407
14,1,0.17276108890365557,0.13519887849228618,0.037562210411369396,1.3505700007954147,1.80335400000331,41.89612800018949
14,2,0.1266319017058979,0.12663190170589775,1.3877787807814457e-16,1.000438999653852,1.5497269996558316,24.96699100083788
14,3,0.0,1.3132367947009322e-16,-1.3132367947009322e-16,1.0139289997823653,1.4668829999209265,44.67459399984364
14,4,0.21700258454035296,0.12747247845062895,0.089530106089724,0.7819529992048047,1.236638999216666,23.458175000087067
14,5,0.04071965699445677,0.024551164708326974,0.016168492286129793,0.886720000380592,1.3284080005178112,49.6560479996333
14,6,0.08475837851885512,-2.0766252142145615e-16,0.08475837851885533,0.9759530003066175,1.418572000147833,46.205922999433824
14,7,2.567941157764976e-16,0.0,2.567941157764976e-16,1.0083400002258713,1.6329489999407087,25.05066599951533
14,8,0.05063365177063146,0.05063365177063146,0.0,0.9701740000309655,1.2853029993493692,41.31566399973963
14,9,1.1996473080257406e-16,1.1996473080257406e-16,0.0,1.0797470004035858,1.5734219996375032,23.329243000262068
14,10,0.12756719166185887,0.12756719166185895,-8.326672684688674e-17,1.400073999320739,1.8052769992209505,28.06997900006536
14,11,0.052744391600005366,0.05274439160000516,2.0816681711721685e-16,1.1244340003031539,1.6829650003273855,53.40484799944534
14,12,0.016389282506074552,2.3903516687179315e-16,0.016389282506074312,1.02349300050264,1.5092969997567707,23.859843000536785
14,13,0.0,0.0,0.0,0.9245360006389092,1.3493580008798745,22.088846999395173
14,14,0.0,0.0,0.0,0.9322579999206937,1.4261730002544937,26.29197300029773
14,15,0.20374465073714731,0.17468349782789327,0.02906115290925404,21.284440000272298,21.87371699983487,24.617961999865656
14,16,0.23163826257208597,0.033485694631304935,0.19815256794078104,0.8533499994882732,1.4347759997690446,22.914105000381824
14,17,0.0,0.0,0.0,0.8861189999151975,1.336229000116873,22.579608000341977
14,18,0.201278028468431,0.16293552370516304,0.03834250476326795,0.8878219996404368,1.3406659991233028,25.63305199964816
14,19,0.05855275729389687,0.05855275729389701,-1.3877787807814457e-16,0.9493329998804256,1.2550080000437447,48.3888319995458
14,20,0.08389409669296524,0.0,0.08389409669296524,1.2444630001482437,1.7322590001640492,49.15688500022952
14,21,0.11471397037639862,-1.6208220965208205e-16,0.11471397037639879,0.9124779999183374,1.2491990000853548,22.726916999999958
14,22,0.04002738833665646,0.04002738833665646,0.0,1.0233040002276539,1.5005440000095405,40.59062499982247
14,23,1.287253202359335e-16,1.287253202359335e-16,0.0,1.0494830003153766,1.672049000262632,29.990537999765365
14,24,0.1409506145964794,0.1409506145964794,0.0,1.0404790000393405,1.6206029995373683,27.00553500017122
14,25,0.036818242602994336,0.0,0.036818242602994336,1.0068390001833905,1.5675730001021293,26.15376700032357
