degree,coupling,mean_N1,mean_N2,alpha,fraction_N2,p99_N2
2,0.55,6.208333333333333,5.825,-0.04597398498704367,0.00029125,12.0
2,0.7,7.475,8.05,0.05345760195825609,0.0004025,16.430000000000007
2,0.85,9.758333333333333,8.991666666666667,-0.059023105506598984,0.00044958333333333336,20.430000000000007
2,1.0,11.858333333333333,13.05,0.06907427538227925,0.0006525000000000001,25.0
2,1.15,16.466666666666665,17.2,0.0314300119192883,0.00086,36.24000000000001
2,1.3,29.275,29.375,0.0024598404755734648,0.00146875,59.81
4,0.55,9.758333333333333,9.358333333333333,-0.03019157405030703,0.0004679166666666666,17.810000000000002
4,0.7,13.166666666666666,11.808333333333334,-0.07854240007322338,0.0005904166666666667,23.430000000000007
4,0.85,17.358333333333334,17.9,0.02216557697238274,0.000895,32.620000000000005
4,1.0,25.841666666666665,25.516666666666666,-0.00912962155641724,0.0012758333333333332,57.10000000000002
4,1.15,43.516666666666666,41.45,-0.03509797504796763,0.0020725,83.0
4,1.3,125.80833333333334,132.08333333333334,0.03511047372245738,0.006604166666666667,262.43
8,0.55,17.65,16.941666666666666,-0.029546187073801952,0.0008470833333333334,30.810000000000002
8,0.7,25.208333333333332,25.5,0.008298255265347523,0.001275,50.620000000000005
8,0.85,40.05,40.641666666666666,0.010578661953000735,0.0020320833333333332,72.0
8,1.0,69.70833333333333,69.83333333333333,0.0012923518304994062,0.0034916666666666664,123.05000000000001
8,1.15,155.8,160.94166666666666,0.023421322314025793,0.008047083333333333,300.29
8,1.3,2578.425,4010.575,0.3186595051830694,0.20052874999999998,9289.240000000003
16,0.55,51.46666666666667,50.925,-0.007632135790518162,0.00254625,94.62
16,0.7,101.86666666666666,96.575,-0.03848018254133058,0.00482875,188.10000000000002
16,0.85,185.63333333333333,193.65,0.03049785472624567,0.0096825,344.1
16,1.0,447.275,471.575,0.03816255749115503,0.02357875,788.3500000000001
16,1.15,2116.7833333333333,6403.866666666667,0.7985348312857871,0.32019333333333333,7646.11
16,1.3,3882.1916666666666,15282.633333333333,0.988474951054694,0.7641316666666667,15465.72
32,0.55,249.475,304.5833333333333,0.14397087532280717,0.015229166666666665,619.96
32,0.7,752.575,1104.675,0.27685735755503754,0.05523375,2209.82
32,0.85,1561.9166666666667,3476.8083333333334,0.5772230272377993,0.17384041666666666,5553.39
32,1.0,2624.85,7654.841666666666,0.7720687782559722,0.3827420833333333,9816.39
32,1.15,3596.575,12292.758333333333,0.8865565397663052,0.6146379166666667,14866.19
32,1.3,4310.65,16375.666666666666,0.9627881536450428,0.8187833333333333,17892.34
